<strong, 1>
<sensible, 1>
<christened, 1>
<Greatheart, 1>
<spot, 1>
<God, 3>
<bless, 1>
<hurried, 2>
<rolled, 1>
<shining, 1>
<group, 1>
<gate, 2>
<omen, 1>
<also, 2>
<smiled, 2>
<waved, 1>
<beheld, 1>
<bodyguard, 1>
<devoted, 1>
<turning, 1>
<fresh, 2>
<proof, 1>
<respectful, 2>
<sympathy, 1>
<infectiously, 1>
<omens, 1>
<sunshine, 1>
<smiles, 1>
<cheerful, 2>
<earthquake, 1>
<neighbors, 1>
<breakfast, 1>
<refresh, 1>
<themselves, 1>
<seems, 1>
<house, 6>
<forlornly, 1>
<opened, 1>
<point, 2>
<pile, 1>
<mended, 1>
<hose, 1>
<showing, 1>
<moments, 1>
<worked, 1>
<straight, 1>
<resolutions, 1>
<wisely, 1>
<relieve, 1>
<feelings, 3>
<shower, 1>
<showed, 2>
<clearing, 1>
<rescue, 1>
<armed, 1>
<coffeepot, 1>
<ladies, 1>
<coffee, 3>
<round, 4>
<fall, 2>
<credit, 1>
<Coffee, 1>
<treat, 1>
<tact, 1>
<resist, 1>
<nods, 1>
<fragrant, 1>
<invitation, 1>
<issuing, 1>
<pot, 1>
<exchanged, 1>
<handkerchiefs, 1>
<napkins, 1>
<motto, 2>
<lecture, 1>
<sipped, 1>
<returning, 1>
<Kings, 2>
<stay, 5>
<attend, 1>
<wishing, 1>
<red, 2>
<perfectly, 1>
<important, 2>
<dish, 1>
<tub, 3>
<eating, 1>
<sugar, 2>
<shook, 1>
<consolation, 1>
<bowl, 1>
<turnovers, 1>
<sober, 3>
<daily, 4>
<tasks, 2>
<sorrowfully, 1>
<accustomed, 1>
<remembered, 2>
<ceremony, 1>
<nodding, 1>
<rosyfaced, 1>
<mandarin, 1>
<waving, 1>
<Goodbye, 1>
<Meggy, 1>
<strain, 1>
<parted, 1>
<looks, 2>
<smile, 1>
<comically, 1>
<small, 2>
<tall, 1>
<shoulders, 1>
<touching, 1>
<shorn, 2>
<sheep, 1>
<wintry, 1>
<News, 1>
<dangerously, 1>
<presence, 1>
<nurses, 1>
<bulletin, 1>
<reading, 2>
<dispatches, 2>
<grew, 1>
<eager, 1>
<plump, 1>
<envelopes, 1>
<poked, 1>
