<cropped, 1>
<basin, 1>
<hat, 5>
<flyaway, 1>
<coat, 1>
<tramping, 1>
<road, 1>
<pace, 1>
<fence, 1>
<stopping, 1>
<gate, 2>
<straight, 2>
<hearty, 2>
<answer, 1>
<elder, 2>
<questioning, 1>
<handsome, 3>
<met, 1>
<frankly, 1>
<ceremony, 2>
<closed, 1>
<usual, 1>
<kiss, 3>
<For, 2>
<maker, 1>
<compliments, 1>
<Bless, 3>
<refreshing, 1>
<delivered, 1>
<paper, 1>
<parcel, 2>
<pulled, 1>
<hair, 6>
<ribbon, 1>
<stared, 1>
<attitude, 1>
<mock, 1>
<rapture, 1>
<shook, 1>
<Where, 1>
<anxiously, 1>
<Stopped, 1>
<license, 1>
<tomorrow, 4>
<Which, 1>
<side, 2>
<inquired, 1>
<persisted, 1>
<interest, 1>
<manly, 1>
<sports, 1>
<despite, 1>
<nineteen, 1>
<Ours, 1>
<Wish, 1>
<d, 6>
<Randal, 1>
<significant, 1>
<smile, 4>
<More, 1>
<cruel, 1>
<pining, 1>
<chest, 1>
<sounding, 1>
<slap, 1>
<heaved, 1>
<melodramatic, 1>
<Undo, 1>
<bundle, 1>
<eying, 1>
<knobby, 1>
<curiosity, 1>
<case, 1>
<thieves, 1>
<observed, 3>
<watchman, 1>
<rattle, 1>
<appeared, 2>
<amid, 1>
<Any, 1>
<frightened, 1>
<swing, 1>
<rouse, 1>
<neighborhood, 1>
<jiffy, 1>
<Nice, 1>
<sample, 1>
<powers, 1>
