<boot, 1>
<lacings, 1>
<upon, 4>
<hat, 2>
<re, 3>
<crossest, 1>
<washing, 1>
<sum, 1>
<tears, 3>
<fallen, 1>
<slate, 4>
<horrid, 2>
<cats, 3>
<cellar, 1>
<drowned, 1>
<angrily, 1>
<rid, 1>
<kitten, 1>
<scrambled, 1>
<burr, 1>
<reach, 1>
<implored, 1>
<wailed, 1>
<remember, 2>
<times, 3>
<twelve, 2>
<mail, 1>
<distracted, 1>
<worry, 1>
<crossing, 1>
<third, 2>
<sentence, 1>
<momentary, 1>
<lull, 1>
<stalked, 2>
<laid, 1>
<hot, 2>
<turnovers, 2>
<These, 2>
<institution, 1>
<muffs, 1>
<others, 5>
<pies, 1>
<comforting, 2>
<cold, 3>
<mornings, 1>
<matter, 1>
<grumpy, 1>
<bleak, 1>
<lunch, 1>
<Cuddle, 1>
<Bethy, 1>
<Goodbye, 1>
<rascals, 1>
<angels, 1>
<tramped, 1>
<pilgrims, 1>
<setting, 1>
<ought, 4>
<turning, 1>
<mother, 8>
<smile, 2>
<wave, 1>
<Somehow, 1>
<through, 4>
<day, 10>
<whatever, 1>
<mood, 1>
<glimpse, 1>
<motherly, 2>
<affect, 1>
<sunshine, 1>
<fist, 1>
<kissing, 2>
<serve, 1>
<ungrateful, 1>
<wretches, 1>
<remorseful, 1>
<satisfaction, 2>
<snowy, 3>
<bitter, 2>
<wind, 2>
<expressions, 1>
<depths, 1>
<veil, 1>
<shrouded, 1>
<nun, 1>
<sick, 5>
<world, 5>
<strong, 1>
<words, 6>
<catching, 1>
<leap, 1>
<preparatory, 1>
<flying, 1>
<Call, 1>
<yourself, 2>
<names, 1>
<neither, 1>
<rascal, 1>
<nor, 3>
<wretch, 1>
<choose, 1>
<blighted, 1>
<decidedly, 1>
<today, 5>
<lap, 1>
<Poor, 3>
<fortune, 1>
<revel, 1>
<carriages, 1>
<cream, 1>
<posies, 1>
<ridiculous, 1>
<nonsense, 2>
<Lucky, 1>
<crushed, 1>
<airs, 2>
<dismal, 3>
<Thank, 2>
<goodness, 1>
<encouraging, 1>
<pat, 1>
<parted, 2>
<each, 4>
<different, 2>
<hugging, 2>
<warm, 3>
<turnover, 1>
<cheerful, 1>
<wintry, 1>
<weather, 1>
<unsatisfied, 1>
<desires, 1>
<loving, 1>
<lost, 4>
<property, 1>
<unfortunate, 1>
<oldest, 2>
<begged, 2>
<toward, 3>
<support, 2>
<Believing, 1>
<cultivate, 1>
<energy, 3>
<industry, 1>
<independence, 1>
<parents, 2>
<consented, 1>
<hearty, 1>
<obstacles, 1>
<succeed, 1>
<nursery, 1>
<governess, 1>
<rich, 9>
<salary, 1>
<chief, 1>
<poverty, 1>
<harder, 2>
<beautiful, 1>
<kind, 8>
<envious, 1>
<discontented, 2>
<natural, 1>
<girl, 5>
<friends, 6>
<accomplishments, 2>
<happy, 10>
<At, 2>
<Kings, 2>
<daily, 1>
<older, 2>
<caught, 3>
<frequent, 1>
<glimpses, 2>
<dainty, 1>
<ball, 1>
<dresses, 2>
<theaters, 1>
<concerts, 1>
<sleighing, 1>
<merrymakings, 1>
<kinds, 1>
<money, 4>
<lavished, 2>
<trifles, 1>
<precious, 1>
<complained, 2>
<sense, 1>
<injustice, 1>
<feel, 3>
<sometimes, 5>
<blessings, 4>
<lame, 1>
<needed, 5>
<active, 1>
<childless, 1>
<adopt, 1>
<troubles, 2>
<offended, 1>
<declined, 1>
<Other, 1>
<Marches, 3>
<chance, 1>
<unworldly, 1>
<fortunes, 1>
<Rich, 1>
<together, 3>
<happening, 1>
<meet, 2>
<comical, 1>
<blunt, 1>
<struck, 1>
<proposed, 1>
<companion, 1>
<since, 2>
<surprise, 1>
<remarkably, 1>
<irascible, 1>
<relative, 1>
<occasional, 1>
<tempest, 1>
<marched, 2>
<declaring, 1>
<longer, 1>
<cleared, 1>
<urgency, 1>
<refuse, 2>
<peppery, 1>
<suspect, 1>
<attraction, 2>
<large, 2>
<library, 2>
<dust, 1>
<spiders, 1>
<Uncle, 2>
<died, 1>
<gentleman, 4>
<build, 1>
<railroads, 1>
<bridges, 1>
<dictionaries, 1>
<stories, 5>
<queer, 4>
<pictures, 2>
<Latin, 1>
<buy, 1>
<cards, 1>
<gingerbread, 1>
<whenever, 2>
<met, 1>
<street, 1>
<dim, 1>
<dusty, 1>
<busts, 1>
<staring, 1>
<bookcases, 1>
<cozy, 2>
<chairs, 1>
<globes, 1>
<wilderness, 1>
<wander, 1>
<region, 1>
<bliss, 1>
<moment, 2>
<nap, 2>
<hurried, 2>
<curling, 1>
<chair, 2>
<devoured, 1>
<poetry, 1>
<romance, 2>
<history, 1>
<bookworm, 1>
<happiness, 2>
<reached, 1>
<story, 5>
<sweetest, 1>
<verse, 1>
<song, 1>
<perilous, 1>
<adventure, 1>
<traveler, 1>
<shrill, 1>
<Josy, 3>
<phine, 3>
<leave, 2>
<paradise, 1>
<yarn, 1>
<wash, 1>
<poodle, 1>
<Belsham, 4>
<Essays, 1>
<hour, 2>
<ambition, 1>
<meanwhile, 1>
<greatest, 2>
<affliction, 1>
<fact, 1>
<ride, 1>
<A, 3>
<quick, 1>
<sharp, 3>
<restless, 1>
<spirit, 1>
<scrapes, 1>
<series, 1>
<ups, 1>
<downs, 1>
<comic, 1>
<pathetic, 1>
<training, 1>
<received, 1>
<perpetual, 1>
<given, 4>
<father, 1>
<Even, 1>
<devote, 1>
<skill, 1>
