<wouldn, 2>
<astonished, 1>
<amazingly, 1>
<confiding, 1>
<kiss, 1>
<crustiness, 1>
<vanished, 1>
<knee, 1>
<laid, 2>
<wrinkled, 1>
<cheek, 1>
<against, 1>
<rosy, 1>
<granddaughter, 1>
<ceased, 2>
<sat, 1>
<cozily, 1>
<casts, 1>
<conquer, 1>
<gate, 1>
<cordially, 1>
<hat, 2>
<stately, 1>
<erect, 1>
<soldierly, 1>
<dance, 1>
<jig, 1>
<expressing, 1>
<fell, 2>
<lifted, 2>
<SEVEN, 1>
<AMY, 1>
<S, 1>
<VALLEY, 1>
<OF, 1>
<HUMILIATION, 1>
<cyclops, 1>
<clattered, 1>
<horseback, 1>
<flourish, 1>
<whip, 1>
<resented, 1>
<slighting, 1>
<remarks, 2>
<admire, 1>
<riding, 1>
<goodness, 3>
<goose, 1>
<means, 1>
<centaur, 1>
<Cyclops, 1>
<burst, 3>
<lapse, 1>
<lingy, 1>
<Davis, 15>
<retorted, 1>
<finishing, 1>
<Latin, 2>
<money, 6>
<spends, 1>
<horse, 1>
<hoping, 2>
<blunder, 1>
<dreadfully, 1>
<debt, 2>
<turn, 2>
<rag, 2>
<month, 1>
<In, 1>
<sober, 1>
<owe, 1>
<least, 3>
<dozen, 3>
<pickled, 2>
<limes, 12>
<forbade, 1>
<charged, 1>
<shop, 1>
<fashion, 1>
<pricking, 1>
<bits, 1>
<rubber, 1>
<balls, 1>
<countenance, 2>
<buying, 1>
<unless, 1>
<sucking, 1>
<desks, 1>
<schooltime, 1>
<trading, 1>
<pencils, 1>
<bead, 1>
<rings, 1>
<dolls, 1>
<recess, 3>
<gives, 1>
<lime, 3>
<mad, 1>
<eats, 1>
<offer, 1>
<suck, 1>
<treat, 4>
<turns, 1>
<restore, 1>
<credit, 2>
<purse, 1>
<quarter, 1>
<leave, 2>
<cents, 1>
<Make, 1>
<plenty, 1>
<pocket, 2>
<feast, 2>
<tasted, 1>
<week, 4>
<delicate, 1>
<actually, 1>
<suffering, 1>
<resist, 1>
<pardonable, 1>
<moist, 1>
<parcel, 1>
<consigned, 1>
<inmost, 1>
<recesses, 1>
<desk, 6>
<minutes, 3>
<rumor, 1>
<twenty, 1>
<delicious, 2>
<ate, 1>
<circulated, 1>
<attentions, 1>
<became, 1>
<Katy, 1>
<Brown, 1>
<invited, 3>
<spot, 1>
<Mary, 1>
<Kingsley, 1>
<insisted, 1>
<lending, 1>
<watch, 1>
<Jenny, 5>
<Snow, 6>
<satirical, 1>
<basely, 1>
<twitted, 1>
<limeless, 1>
<promptly, 1>
<hatchet, 1>
<furnish, 1>
<answers, 1>
<certain, 1>
<appalling, 1>
<sums, 1>
<cutting, 1>
<persons, 1>
<whose, 1>
<noses, 1>
<flat, 1>
<smell, 1>
<stuck, 1>
<instantly, 1>
<crushed, 1>
<withering, 1>
<telegram, 1>
<polite, 1>
<sudden, 1>
<distinguished, 1>
<personage, 1>
<beautifully, 1>
<drawn, 1>
<maps, 1>
<received, 2>
<praise, 2>
<foe, 1>
<rankled, 1>
<caused, 1>
<assume, 1>
<studious, 1>
<peacock, 1>
<alas, 2>
<Pride, 1>
<goes, 2>
<fall, 1>
<revengeful, 1>
<disastrous, 1>
<sooner, 1>
<paid, 1>
<usual, 2>
<stale, 1>
<bowed, 1>
<himself, 1>
<pretense, 1>
<asking, 1>
<teacher, 2>
<Now, 5>
<declared, 2>
<contraband, 1>
<article, 1>
<solemnly, 1>
<vowed, 1>
<publicly, 1>
<ferrule, 1>
<person, 2>
<breaking, 1>
<law, 1>
<This, 2>
<enduring, 1>
<succeeded, 1>
<banishing, 1>
<chewing, 1>
<gum, 1>
<stormy, 1>
<war, 1>
<bonfire, 2>
<confiscated, 1>
<novels, 1>
<newspapers, 1>
<suppressed, 1>
<private, 2>
<post, 1>
<office, 1>
<forbidden, 1>
<distortions, 1>
<nicknames, 1>
<caricatures, 1>
<done, 3>
<hundred, 1>
<rebellious, 1>
<Boys, 1>
<human, 2>
<patience, 1>
<infinitely, 1>
<nervous, 3>
<gentlemen, 1>
<tyrannical, 1>
<tempers, 2>
<talent, 4>
<teaching, 2>
<Dr, 1>
<Blimber, 1>
<quantity, 1>
<Greek, 1>
<algebra, 1>
<ologies, 1>
<morals, 1>
<feelings, 3>
<examples, 1>
<particular, 1>
<importance, 1>
<unfortunate, 1>
<denouncing, 1>
<coffee, 1>
<east, 1>
<wind, 1>
<affected, 1>
<neuralgia, 1>
<pupils, 1>
<Therefore, 1>
<expressive, 1>
<language, 1>
<schoolgirl, 1>
<witch, 1>
<powder, 1>
<yellow, 2>
<flushed, 1>
<rapped, 1>
<skip, 1>
<seat, 4>
<rapidity, 1>
<Young, 2>
<stern, 2>
<buzz, 1>
<fifty, 1>
<gray, 1>
<obediently, 1>
<fixed, 2>
<awful, 1>
<comply, 1>
<outward, 1>
<composure, 1>
<secret, 2>
<oppressed, 1>
<weighed, 1>
<conscience, 1>
<Bring, 2>
<unexpected, 2>
<command, 1>
<arrested, 2>
<whispered, 1>
<neighbor, 1>
<presence, 1>
